source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
458,2063,1,0,0,1,0,0,0,0,0,0,0,0
862,9528,1,0,0,0,1,0,0,0,0,0,0,0
128,3234,2,0,0,2,0,0,0,0,0,0,0,0
417,244,9,0.28386,0.47851491,3,5,1,0.1767,0.1026,0.00456,0.264957265,0.209302326,0.004255319
19083,377,8,0,0,5,3,0,0,0,0,0,0,0
5111,12109,3,0,0,3,0,0,0,0,0,0,0,0
1050,171,4,0,0,2,2,0,0,0,0,0,0,0
621,993,5,0,0,2,2,1,0,0,0,0,0,0
1025,9690,1,0,0,1,0,0,0,0,0,0,0,0
7185,1085,2,0,0,0,2,0,0,0,0,0,0,0
167,16,3,0,0,2,0,1,0,0,0,0,0,0
3592,13328,4,0,0,0,2,2,0,0,0,0,0,0
9439,410,3,0,0,3,0,0,0,0,0,0,0,0
9540,11083,1,0,0,1,0,0,0,0,0,0,0,0
31,13,3,0.0456,0.105263158,2,1,0,0,0.0456,0,0,0.105263158,0
13,897,12,0.2907,0.390843659,5,7,0,0.0958,0.1949,0,0.159356725,0.231486933,0
16,36,1,0,0,0,0,1,0,0,0,0,0,0
1073,2977,5,0,0,1,3,1,0,0,0,0,0,0
347,833,1,0,0,0,1,0,0,0,0,0,0,0
8024,164,1,0,0,0,1,0,0,0,0,0,0,0
82,1082,2,0.0342,0.030071624,1,1,0,0.0285,0.0057,0,0.024752475,0.005319149,0
4333,458,1,0.0581,0.087119508,0,1,0,0,0.0581,0,0,0.087119508,0
472,366,4,0,0,1,2,1,0,0,0,0,0,0
294,720,3,0,0,1,1,1,0,0,0,0,0,0
7185,6418,2,0,0,0,2,0,0,0,0,0,0,0
1032,677,1,0,0,0,1,0,0,0,0,0,0,0
339,589,1,0,0,0,1,0,0,0,0,0,0,0
38,167,3,0,0,0,2,1,0,0,0,0,0,0
15,27,5,0.399,0.745419027,1,4,0,0,0.399,0,0,0.745419027,0
3392,34153,1,0,0,0,0,1,0,0,0,0,0,0
41,279,1,0,0,1,0,0,0,0,0,0,0,0
804,5546,2,0,0,1,1,0,0,0,0,0,0,0
839,5,5,0,0,3,1,1,0,0,0,0,0,0
416,16,1,0.2109,0.226384714,1,0,0,0.2109,0,0,0.226384714,0,0
2990,10140,9,0,0,7,2,0,0,0,0,0,0,0
